id;dart;x;y;z
562;4489;0.97;-0.25;0.26
563;4497;1.09;-0.22;0.29
564;4505;1.18;-0.12;0.31
565;4607;1.24;-0.00;0.16
566;4521;1.21;0.12;0.16
567;4529;1.12;0.22;0.15
568;4537;0.99;0.25;0.13
569;4545;0.87;0.22;0.11
570;4553;0.78;0.12;0.10
571;4561;0.74;-0.00;0.10
572;4569;0.78;-0.12;0.10
573;4577;0.87;-0.22;0.11
574;4585;0.99;-0.25;0.13
575;4593;1.12;-0.22;0.15
576;4601;1.21;-0.12;0.16
